Estructura de almacenamiento (MW)

Hora,Turbinación bombeo,Consumo bombeo,Baterías,Consumo baterías
"2025-03-20 01:30","5","-2193","1","0",
"2025-03-20 01:35","5","-2211","1","0",
"2025-03-20 01:40","5","-2206","0","0",
"2025-03-20 01:45","5","-2213","0","0",
"2025-03-20 01:50","5","-2211","0","0",
"2025-03-20 01:55","5","-2201","0","0",
"2025-03-20 02:00","5","-2200","0","0",
"2025-03-20 02:05","5","-2207","0","0",
"2025-03-20 02:10","5","-2206","0","0",
"2025-03-20 02:15","5","-2206","0","0",
"2025-03-20 02:20","5","-2208","0","0",
"2025-03-20 02:25","5","-2255","0","0",
"2025-03-20 02:30","5","-2261","0","0",
"2025-03-20 02:35","5","-2253","0","0",
"2025-03-20 02:40","5","-2251","0","0",
"2025-03-20 02:45","5","-2254","0","0",
"2025-03-20 02:50","5","-2255","0","0",
"2025-03-20 02:55","5","-2260","0","0",
"2025-03-20 03:00","5","-2256","0","0",
